#input parameter
sample name:,Bi0.3Sb1.7Te
样品名称,['GeTe' 'MnTe' 'SnTe']
各组元比例,[0.5  0.25 0.25]
晶格类型,cubic
晶胞常数,"[[1.08 1.06 1.09]
 [3.   4.   5.  ]
 [3.   5.   6.  ]]"
剪切模量,[40. 60. 80.]
Z值,4.0
无量纲因子M值,7.34
温度,400.0
 , 
 , 
#output results
组分摩尔分数:,[0.5  0.25 0.25]
有效晶胞常数:,[1.0767389  4.0824829  4.83045892]
晶胞常数之差:,[0.         3.005744   3.75372001]
平均有效晶胞常数:,3.3298935745668516
平均剪切模量:,60.0
溶解度因子:,385.0174615221985
构型熵,8.644719482306641
构型熵/R,1.0397207708399179
混合焓,4.811256355267e+26
温度,熵变项,吉布斯自由能
400.0,3457.8877929226564,4.811256355267e+26
